,libfabric-version,pumi-version,cmake-version,mpich-version
4mgzhvwzn5adkc3mcjjetnduj7eryu4q,absent,2.2.4,3.17.1,absent
4mhjzacan5bw3rfqblzht3pqwesqt6cz,1.6.2,2.2.6,3.9.6,3.2.1
4nyplww24nbwk5hys2rquxx7c36ms4rw,1.14.0,2.2.3,3.13.1,3.4.2
4oxsmp3kumbngi4vfbsve2cqlavfft5h,1.14.0,2.2.6,3.11.1,3.4
4oyj5bkfk63kda4ez2fva7vwcaibs6ws,absent,2.2.5,3.17.5,3.1.2
4qxtrzflmnozxulkfj3lj6frka4ylta7,absent,2.2.6,3.21.0,3.1.1
4rwc4cka3lbyrmrb63dosp24cucs5z6x,absent,2.1.0,3.14.4,3.1.2
4scufqgwzusywfj5d4acmkuyqml6uyta,1.14.0,2.2.6,3.15.0,3.4.1
4upyrgrcltyb6tby3m4vl44k76cqkkzv,absent,2.2.1,3.20.3,3.1
4wjgeli7ey2ffp7lisldf3citrljj536,1.14.0,2.2.4,3.20.1,3.3.2
4wvw25xwtzatysiozac6iqrma7w7yzve,1.6.2,2.2.1,3.16.7,3.2
4yjycecm34kooeymnzbyctmkhvlpbewu,1.14.0,2.2.3,3.18.4,3.4
4zm6wbuvyollpvemgnsa3k2lo76lborx,absent,2.2.2,3.16.2,3.1.2
52p3yv2fdcdnexq3arpnyexgqjoyu2mu,1.14.0,2.2.1,3.11.1,3.4.2
532bhlstvac6kgpp4ewp77e3wv4r5emg,1.6.2,2.2.4,3.9.4,3.2.1
53j5jy52bwbvp4qmuwfqkovkpiltivcx,1.14.0,2.2.3,3.16.9,3.4.2
542nisv7aecbkt3ogkm6j45fcfyx3ox3,1.14.0,2.1.0,3.20.0,3.3.2
543nimv5tiri2ben5leac2on5ism7nrc,1.6.2,2.2.6,3.10.1,3.2.1
55sobu54uj3iwjly3ewtop5ag3nb63rt,absent,2.2.3,3.16.4,3.0.4
57rjrxigoj2qcdzhin3rc4mao7vkfulm,absent,2.2.5,3.5.2,3.1.3
5a3lprnnmjhhzohphczcnwk2zunch35k,absent,2.2.5,3.19.4,3.1.2
5ajj24vhkdn5iswcdipge454cneadvhc,absent,2.2.6,3.10.2,3.1.1
5bogrdi3izngrnoygzsfungbeblghhzr,absent,2.2.6,3.20.2,3.1.1
5fqocz4ciy4rldx2diwuq2w4epi3icfd,absent,2.2.1,3.18.1,absent
5jcrfzmueujqt7tq3uh6bagsmzmeyutm,absent,2.1.0,3.19.8,3.1.3
5la3rj5wif7eteahdhwmcmubbznzcakb,1.14.0,2.2.5,3.16.3,3.3.1
5m4ecd7soxuumva7ofquborp6i7f4uyi,1.14.0,2.2.0,3.21.1,3.3.2
5o6gouyawnvkfrnsgigxf2dmqeygaaee,1.14.0,2.2.0,3.13.1,3.4.1
5ultpypwwfrxs3bomghiqzvt6l4fhrpw,1.14.0,2.1.0,3.19.4,develop
5uqugmgohpk6anbzxqrw2sucjt2pjquj,absent,2.2.1,3.6.0,3.1.3
63vxqgpzyctbbn2coi7bkwy3ektnxqld,1.6.2,2.2.1,3.1.0,3.2.1
64gebke75k4j2c7xvmx6he5pu3xwehzy,absent,2.2.1,3.21.3,3.1
6663s6wrw4caqneo7inmmndibr6d7czp,absent,2.2.1,3.4.3,3.1.1
67czeluffedbxjir7znfsitaq3djv4nh,1.14.0,2.1.0,3.12.3,3.4.2
6atd7ufzh2bcxticfkwofdlbc7sopfgl,1.14.0,master,3.14.3,3.3
6bh2fmievbvxb47mhheggjryncinkm6e,1.14.0,2.2.6,3.14.6,develop
6bnf6tmscjq34upxou3wors7xdt2xhgz,1.14.0,2.2.6,3.19.3,develop
6i2lfiuhsr4uqx3mfoavgrhu2vqxu22a,absent,2.2.3,3.17.1,3.1.2
6ifw44nao4p276xcsrsd6m46ghddrzdq,absent,2.2.4,3.1.0,3.1.3
6jdctmz4upon5idm7s3lb6eqgerifjp6,1.14.0,2.2.5,3.11.2,3.4
6kjkogm6xwf7iolwaug4sgflnphdszkx,absent,2.2.2,3.14.2,3.1.2
6kpkgmztuave7sz2t54nwjw76f6phhit,absent,2.1.0,3.5.1,3.1.2
6kz52qsc73kq45mqed3nx42mmmj43f4m,absent,2.2.1,3.9.4,3.1
6lafog3sokfyxq25v7oibx5arpyux2ja,absent,2.2.3,3.13.4,3.1.3
6luqmqawnd4ddhjpu5qlilvybq24kxqw,absent,2.2.1,3.9.2,absent
6mvbwiizsenscrbq2gxalmsl5dsmh6y6,1.6.2,master,3.19.3,3.2.1
6nge4szb3iodhxfqck5yhue7jg4rx44q,1.6.2,2.2.6,3.16.7,3.2.1
6nisbm6voqi3qutf7lvd4d762whystwv,1.6.2,2.2.5,3.18.1,3.2
6oa26tbfrtayv6y2rus3g2hegivb4s5n,1.14.0,2.2.6,3.19.6,3.3.2
6pgey6yfqp2ggzerbe2nh7lgn5333gir,1.6.2,2.2.1,3.9.0,3.2.1
6qrsl4tffdhgpgj4vqoaornihnuz6eke,absent,master,3.21.0,3.1.2
6s527u2jy5ygsnyujrcfma2fnc34oarm,1.14.0,2.2.0,3.12.2,3.3
6szu6ldxabwwsf3dndd5b5xcu36ogyjn,absent,2.2.2,3.11.2,absent
6txzdvuw5bkjyqmzcrivmyy3hjlryeeh,absent,master,3.14.2,3.1.3
6vskucowtcf6lrgj5tsircvgovf6cy4h,absent,2.1.0,3.18.6,3.1
6w6ulnk7suge4lsb5gt4qknoahl3slql,absent,2.2.3,3.7.1,3.1.3
6wavaw22eydnowhydfgrcne3oikkpk4y,1.14.0,2.2.2,3.17.1,3.3.2
6xycairckargkynqta4k3zzvf5eyabpf,1.14.0,2.2.6,3.13.0,3.4.2
6yxz4j6jyabivfmjyqh33vofvpjhwdks,absent,2.2.6,3.12.4,3.1.3
6zlanevk67zbw2c4aez5x75g5r4j3mm5,1.14.0,2.2.6,3.8.1,3.3
6zwddr75zqhohpcnsnif7fv5kmq26ikh,1.14.0,2.2.2,3.16.0,develop
72l5cnasdglnzvvupu5yl63uvglym2cd,1.6.2,2.2.4,3.5.2,3.2
72lcux3zf77j3emdckjgh3h6fb5xlcrp,absent,2.2.2,3.11.3,3.1
746semzr7h7bppcbhcl6nxrgnkbq3oti,1.6.2,master,3.8.2,3.2.1
756odca4sthhylwfuks4ztmuxdlmhb7c,1.14.0,2.2.6,3.8.2,develop
7bmhpn3qd3clfxxbdexhs4tbapferpi5,absent,2.2.2,3.12.1,3.0.4
7dbc4vvkkopb2e5rr7necyps5kcszefn,1.14.0,2.2.0,3.15.5,3.4.2
7ekhk7d5eov4cbq6hci5z3tzbbmrnrjz,1.14.0,2.2.6,3.16.2,3.4.1
7evcdoih5hwb647ucfx2vynj6uzl2zqg,1.14.0,2.2.2,3.16.2,3.3
7eyzrps6elmhscxarckafh5o6u3qxo5x,1.14.0,2.1.0,3.15.6,3.4.2
7gbclz4zdudgbxpe2clwdalzwtxcpyiy,absent,2.2.5,3.15.1,3.1.3
7gitgu7vnqks2degliilx6nuicvvs2nc,1.14.0,2.2.6,3.15.4,3.3
7j36onnm5b4ckrnw5yls7eyrc5lrombp,1.14.0,2.1.0,3.1.0,3.4
7jbpfcivhoonifb2owagzkvkwsgiia5p,1.14.0,2.2.1,3.14.1,3.4.1
7jjloke67nxrxy6hbxxpf3b4yiejuuie,absent,master,3.12.1,3.1.2
7kw36nhrurcxkjpcl3oweera2xkzj5ym,absent,2.2.5,3.14.6,3.1.3
7llbf7rvp45i665nju5wdsmeg42r7x5k,1.14.0,2.2.5,3.8.2,3.4.2
7mwc5gjd6bp5jvfwk5pre2nmpsxfibvn,absent,2.2.6,3.20.1,3.1.1
7neuvs77ke5axb3u6ucu5abgxtfjraeu,1.14.0,2.2.4,3.12.2,3.4.1
7njngjlffe2lnv6u4ofxy5k3uhwm3srr,1.14.0,2.2.3,3.0.2,3.3.1
7obvqvyb457skv4gmmmo64fltjsvw7ts,1.14.0,2.2.5,3.11.1,3.3.1
7r33iak3flaalxliydv6vwckbnwm4bpo,absent,master,3.19.8,3.1
7raxm5qal73hudigy4dxidbxfqfzxqkr,1.14.0,2.2.6,3.19.3,3.4
7rgdtqgetzfdzlnthbsaaaep3ygoszso,1.14.0,2.2.4,3.9.2,3.4
7tey5jfh4n2phys36lpzmafkuiley45r,1.14.0,2.2.2,3.20.2,3.3.2
7tgyx5vgti2umlvxlwa2divhef2x6e5v,1.6.2,master,3.15.4,3.2
7vbhtocmbjuyspommkrni57dwhpnfhje,absent,2.1.0,3.7.1,3.0.4
7vcrqwchphllb46fbcx7gtzfnx6cog2l,absent,2.2.5,3.14.5,3.1.3
7vjgkylb3f64nq7kyufxnhnmo5ikizek,absent,2.2.2,3.12.3,3.0.4
7wbgthesermguy57aw6fshz6mpixjot2,1.14.0,master,3.15.1,develop
7xhdleuz3hfvt42hppriwqvnmppltj65,absent,2.2.1,3.7.1,3.1.1
7xsfmlkz3a5neqxp2bmegwa4mptlvdvv,absent,2.1.0,3.19.5,absent
7ztiircwuycwc7cmgasugnxyb644wevd,absent,master,3.16.9,3.0.4
a25mfdqnvrihwxybl7jivk6zoziigbeu,1.6.2,2.2.0,3.11.0,3.2.1
a2qqcvhjx5fp2qofwfj4s75kevjoumsa,1.14.0,2.2.4,3.10.0,3.4.1
a2vjmnr3ogw6xbpz4n3hrgayzgturnl4,absent,2.2.3,3.9.0,3.1.2
a3tjrf3cnx3kdh53lfjziszlt4fbbbh3,1.14.0,2.2.3,3.16.2,3.3.2
a3ueifqy5xolrsxyafnfxnejbvfis2kc,absent,2.2.3,3.21.0,3.1.2
a4i45mazwyj6pkuohqdj2ymjbqezihx5,absent,2.2.2,3.13.1,3.1.2
a4olfi3oyaq4sbrt5nbadyxrpg5vrtrd,1.14.0,2.2.4,3.18.1,3.4.1
a5c4j5whbbgcswecm2ud5u7wzfgcg42z,absent,2.2.4,3.16.1,3.1.2
abvmjrmonz2ziufmrt2asvfvcm4uytkx,absent,2.2.3,3.14.7,absent
ad36dtthmjl6qzfhxzhucx52vm5xnlu7,absent,2.2.6,3.16.5,3.1.1
ad6wgr3sn3kl7e5ibuz7s35nvobu75g4,1.14.0,2.2.1,3.14.4,3.3
aedar3eant5gy4smyokeelfgwcz7qcxd,1.6.2,2.2.2,3.14.5,3.2
af4qdy27pva6a3xmcqpwp6vve2jgwpst,1.14.0,2.2.4,3.19.4,3.3.2
agdam2r6rzdqtzwmh4mcuno4mq37vkcj,1.14.0,2.2.4,3.19.0,3.4.1
agspjozwyr5qrf5eaoo2lagcyaih6fv5,1.14.0,2.2.5,3.14.7,3.3.2
ahvyzd6akuzfuionlrw75ncojtketctq,1.14.0,2.2.2,3.19.4,3.4
aizb6k4hhzlus3uj3n2bclu3rjrphn7z,1.6.2,2.2.6,3.15.6,3.2.1
amjygqshx2gu3fdbm3c6lzqbhudib453,1.14.0,2.2.6,3.17.4,3.4.1
aoek3p6s6pjbgozcoxw2r6a5f4raeaxf,1.14.0,2.2.0,3.12.3,3.3.2
aoyimaklinopiqe5eym7x6vh6u63lmhy,1.14.0,master,3.14.5,3.4.1
apspitbb66iypikt2o4gald3blhcr6xb,absent,2.2.6,3.13.1,3.1.1
apz3pwptaow3xd3wuf74qqeiia4k2crv,1.14.0,2.2.6,3.12.0,3.4.2
aqgnqqnfuhqdtmufgithpocmsfrdsxmx,1.14.0,2.2.0,3.21.1,3.4.1
ar55rupdxfwrob7anmvwzonm7kupbc5z,1.6.2,master,3.18.3,3.2.1
ar5p2725zdmtuhqb2lfdvwldccu3r7v4,absent,2.2.6,3.6.1,3.1.3
asfwx7gaaj7otwfvfmur5gimhtdlrfby,absent,2.2.0,3.16.5,3.1.1
asnzdozyziq3qm7snwtzvyizcpxot7jt,absent,2.2.2,3.18.6,3.1.1
aso5fmyn7cl5zs47c6tf3k27kycbifme,1.14.0,2.2.3,3.10.0,3.4
avzj3ylofsddhi3haqwmectgvfj2ctlr,absent,2.2.6,3.11.0,3.0.4
awzzeif6vqh4jj4h7ujamegj7jsbdyuy,absent,2.2.3,3.15.0,3.0.4
ayj4aipl33e76iyo6cfzjlnoncsvq3mh,1.6.2,2.2.6,3.21.3,3.2.1
az7qcrdthpxr4ndvkdgjw3gjngg52a23,1.14.0,2.2.6,3.8.0,3.3.2
b2hcg5zxmgbexjuyzlqyipsbspywtxmo,1.14.0,2.2.5,3.16.9,3.3
b2ogqvbo6zpsv3xea2askimbb73exujs,1.14.0,2.2.6,3.16.5,develop
b3h2m5xcbocsq7ri2h5vckeby7j7xqvf,absent,2.1.0,3.9.2,absent
b3s3v7cg6ethyphauuba7nzyags4pmq2,1.14.0,2.2.4,3.21.2,3.4.2
b4nyasa47j6se4yrjfs27bckjktmsh7s,absent,2.2.6,3.14.6,3.0.4
b4totwghmv44umplwr7yoyut3ebs7cvs,1.14.0,2.2.6,3.6.1,3.3.2
b5rcsu4s736bakngtd3ulfx3oa54krei,1.14.0,2.1.0,3.19.8,develop
b737sql3my5fed5k5exw2zs25xbev6zy,1.14.0,master,3.20.5,3.3.1
b7rhh73r7ahm3lgowhgshi7xncpig7th,1.14.0,2.2.1,3.19.8,3.4.2
b7tgwxepeuxxqtmlry6m3alpbovu4xvs,1.14.0,2.2.6,3.5.1,3.4.2
ba4sswhbme7lrslfjaklo5yvh6suw7bi,1.6.2,2.2.5,3.11.3,3.2
bbf3ps5j5j5qnxed35i3htaiwljj2fo4,1.14.0,2.1.0,3.7.1,3.4.2
bbfl73zko6lej3wvg5co7xlqbijwizom,absent,2.2.6,3.19.7,3.1
bcq4mkxxr3ufgv774mxjqriker5kizzz,absent,2.2.6,3.16.0,absent
bdj6fijsyglsrdvlo7jmsdicsu325r6r,1.14.0,master,3.15.7,3.4.1
beon2cbkg5ccf2fakfiv5lxwcdvf6vip,absent,2.2.2,3.9.4,3.1
beutulgp7azbzq3q473yiz2zz2cghbf5,1.14.0,master,3.19.4,3.4.2
bhhcszzcqb2txuyugql34aaq4ckgp5po,1.14.0,2.2.4,3.16.7,3.3.1
bk2p6osdrkwetcgtbtvl6axgkkbiy4i7,absent,2.2.3,3.13.3,3.1.3
bmlpduseiaoybiopytqnyiz4inhmg7qe,1.14.0,2.2.4,3.5.0,3.4.1
bmxy6l27z4k3leksyfevyvijw5qqoulu,1.14.0,2.2.6,3.19.2,3.3.2
bo4km4oxice2uuobtrmv324rqawt755q,absent,2.2.0,3.19.2,3.1
bponm25rmpzp2yyavkmknfj6ha25r5n6,1.14.0,2.1.0,3.15.7,3.4.1
bsyclwgeyxb44emlyuhwiepjdxwyyo7q,1.14.0,2.2.4,3.19.6,3.3.1
bvhxa4fic5dwqwgbyp5k2pn3lkwbi7di,1.14.0,2.2.0,3.1.0,3.4.2
bxbmdfytwles7lsqlpnq7vrvtjvbyoki,absent,2.2.6,3.21.1,3.0.4
byofmkhsaeircrab3q6hj5psoods3wbb,1.14.0,2.2.1,3.0.2,3.4.2
c4dwrmfio7glkcipxojzbkeoblmt6xkb,absent,2.2.1,3.8.0,3.1.3
c4sm2snwlnq33t5okfkhjydtba7eulpd,absent,2.1.0,3.15.5,3.1
c65vrbz7gxyxri325efhsnk75co3a5hf,1.6.2,2.2.2,3.16.0,3.2.1
c7vaxdenn4v62x2xvzalgevfpsq6f47x,absent,2.2.6,3.16.2,3.1.3
c7zhkluqkgwpfol6zns6otiugnn5vgxx,absent,2.2.4,3.14.7,3.1.3
can6fwnn6b2chuwqxg57pivf7o63t2wd,absent,2.2.5,3.4.3,3.1.2
ccbwcpjgiucucg32zp5pgyfk5o3cefzt,absent,2.1.0,3.7.1,3.1.1
cgkqleeehb4gglhfjawlo6qs6lq6f3e7,1.14.0,2.2.6,3.18.0,3.4
cgqfotzbeourmu4hqhviqn3fxsttzlz4,1.14.0,2.1.0,3.19.1,3.3
chmcevrmpyyypoqwue3v2c4al3sxxbhd,absent,master,3.14.1,3.1.1
ci6j3xw7vlcmooxq3qnthqck6uqm57oj,1.14.0,2.2.0,3.13.3,3.3.1
citf3wobgsfzcif7qfice3rtsozq5oqs,absent,2.2.1,3.16.5,absent
cjqkicveljyu4pfqitdjycuthjoaxw55,absent,2.2.0,3.15.1,3.1.3
ckdongsg4p5aufkvpixdtl3qxiautjty,1.14.0,2.2.6,3.16.1,3.4
clgr4pqftvpnledpb6p3v75otc4bqmwr,1.6.2,2.2.6,3.21.2,3.2.1
cm4atcmxiwtuc7bv5bknl7zksafmfoe3,absent,2.2.2,3.13.2,3.1.1
cmgdwfxqqnexqfq3oqv5fwrmjo5xdkfj,1.14.0,2.2.2,3.10.2,3.4
co5kv46asuq5gmflxuazjek3bue7a6ik,1.14.0,2.2.4,3.8.0,3.3
cqtxfhutjiypwabzhlsrfkmi52jh6672,1.6.2,2.2.6,3.10.0,3.2
cr2fbnwc7ew7ij5c3pary5ddlh5i7eil,1.14.0,2.2.6,3.14.3,3.4
csnqfw5huv4xtnvlw4ke5oxugczrdz2k,absent,2.2.2,3.21.3,3.0.4
cstp5rt6ynixhv3vre4wgubvugjyk2er,absent,2.2.3,3.13.0,3.0.4
cyfj77gjv74hxs4slzjme3bfpqstp7dl,absent,2.2.1,3.22.1,absent
cyoz3ma3ak5c7igog6xuvmsrmqqwpbe2,1.14.0,2.2.2,3.16.7,3.3
d2io4oohoo5rp666dk7bg33wzy24nl6n,absent,2.2.2,3.18.0,absent
d2ouok2jjcc3qebiia3xoaa757wooymk,absent,2.2.6,3.18.4,3.0.4
d333fwknarsqzpm7ramnv5q2nurbzrrh,1.14.0,2.1.0,3.17.0,3.4.1
d3ee4goruvgydeyvlfy7povxvz2aqpxy,absent,2.2.4,3.19.7,absent
d52spxs7lz4rkbrx7iplw5tqw54orrr7,1.14.0,2.2.3,3.19.5,3.3.2
d55ewhkuxj6gfxhxjqozqnuidsgsqhrk,absent,2.2.5,3.11.1,3.1
d5iqooi4mds5reb4napfi2quqzjsuan3,1.14.0,2.1.0,3.6.1,3.3.2
d6ctqsibu4w7dpuuepvcy3rjuvndzvhg,1.14.0,2.2.0,3.21.3,3.3
d6dimvl7dvpll2hj4rtcz4gkuvuvb36s,1.14.0,2.2.0,3.11.2,develop
d6mi7h5qnh5shnd6cbnct23pciwzeie5,absent,2.2.1,3.16.0,3.1.1
d7z6yrmcv5svwlylshlnj4u73or7qp4m,1.14.0,2.2.6,3.16.0,3.4.2
da3dpqjd2z5mlx63p5s7axzdcdhwxxrb,1.14.0,2.2.3,3.14.2,3.3.2
damzlwcjn7ssuj7w73s7244by5m3iezq,1.14.0,2.2.5,3.19.6,3.3.2
danwd4lswxq2gljn2xc634rcynpkrben,1.6.2,2.2.1,3.16.5,3.2.1
dbcvgqugb7hselq3x4kwuiocorfyyksc,absent,2.2.0,3.19.3,3.1.1
dcrg66soz5xedu62ymxxd3a2bo7ln7nd,1.14.0,2.1.0,3.9.2,3.4.2
ddqctnystfnbo2ovfk26twyrbbqcmlxu,absent,2.2.0,3.19.0,3.1.3
dfjhypctfkxl5ge3345ozljup4mrhttx,1.14.0,2.2.3,3.18.6,3.4.1
dggklmicupegm3na4n2oz55wi5rco4zg,1.14.0,2.2.5,3.19.8,3.3.1
dgqcexciw64cfe2advs3y7pmjzoo5clx,absent,master,3.19.1,3.1
dhjgwvujni2vrxa7yzsnmxg7iui6ob3b,1.14.0,2.2.2,3.10.2,3.3.1
dhrufazadj5qdxovsrjoffx57jehvrin,1.6.2,2.2.0,3.6.1,3.2.1
diu7wselqp7mepjmpll7gr34x7rtzat5,1.6.2,2.2.2,3.20.5,3.2
dkld2uefdxzzaefqieecsiuy2f4q7d77,1.14.0,2.2.2,3.9.4,3.4
dlcwwcg4wvqqanyrsu3egbzusrz5bcmr,absent,2.2.6,3.14.0,3.1.3
dsk4eyxzc7tn4msdh27465kba33uqqct,absent,2.2.3,3.19.8,3.0.4
dxifiaehuwpjxzzgr7bvt3ktezdjxy52,1.14.0,2.2.3,3.14.5,3.4.2
dynxeq5m6vhjxk67qhdqhf2tyja35xrc,absent,2.1.0,3.21.2,absent
dzapuao76trld3hvkv7nmbd33pfaair6,1.14.0,2.2.2,3.15.0,3.4.2
e2xjvslsl4tkalbbfy43z2z6nfjbfr3s,1.14.0,2.1.0,3.5.1,develop
e3tkdyhvu5b2f6yjjtcu4nnaiipa3yco,1.6.2,2.2.4,3.16.5,3.2
e43pp2okykslo7kne4hybr4arm3z55ga,1.6.2,2.2.6,3.15.2,3.2
