,superlu-dist-version,parmetis-version,libfabric-version,openblas-version,cmake-version,mpich-version
u5ehuiinkk6t6vm3fcaoiohr4orcfrmi,6.3.0,4.0.3,1.14.0,0.3.5,3.10.1,3.4
ud22kucxqqjhi7q3t3mum7yjl7pbijp6,5.1.3,4.0.3,absent,0.2.18,3.6.0,3.1.1
uyzrzm2334a234qyiwqj45gght4zhr2d,6.3.0,4.0.2,1.14.0,0.2.20,3.16.9,3.4.1
vm6dnowetsquyoufriakgg2rkcjvq5x6,6.0.0,4.0.3,1.14.0,0.3.11,3.15.2,develop
vquqo4cxqv4w3phwxob6abmmloi7exy3,6.4.0,4.0.3,1.14.0,0.2.15,3.15.0,3.3.1
wq6ipizbvuyyd7aytspvrqc5rjkwkfgf,6.1.1,4.0.2,1.14.0,0.3.17,3.15.2,develop
wr7qajk7xsbq5wlfst5iuty5y5wmvydh,5.1.0,4.0.3,absent,0.3.7,3.10.1,3.1
wyvpsvilmyoqrzpc2oy5ixkalqsqc5aj,6.1.0,4.0.2,1.6.2,0.3.12,3.19.7,3.2.1
wzmgrp3few5rb6lohn4po23gdmyzy4zt,5.2.2,4.0.3,1.14.0,0.3.12,3.17.5,3.4.1
y5vaadjqsxoxtbg3zfe5tawgaoag65ch,6.1.1,4.0.2,1.14.0,0.3.11,3.17.4,develop
ygujyqhbl2xohyximhlwjytlslfwio2b,6.0.0,4.0.3,1.6.2,0.2.16,3.10.1,3.2
yn7w3runro26dmsfewp7wafqjpvl2z2x,5.4.0,4.0.3,1.14.0,0.3.12,3.19.2,3.4.2
z2ipzens4jgull6yddue4sl3zvw6hj5f,6.1.1,4.0.3,1.6.2,0.2.20,3.14.5,3.2.1
zs7fvg43uonwrtxnrhhywpsvd2zjtn5l,5.4.0,4.0.2,1.14.0,0.3.5,3.19.2,3.3.2
7kxa3tk6f7wbnrkxt27vyynpamxlvc4b,5.2.2,4.0.2,absent,0.3.12,3.14.4,3.1.1
7w4mq6sxfh4qqwdnoufwh3jmpezdr6ff,6.3.0,4.0.3,absent,0.2.15,3.13.0,3.1.1
7wh36p4cud6wxhgjv3t4afqf3uyaazb7,5.0.0,4.0.3,absent,0.3.7,3.10.1,3.1.2
aj4cpgahylrgabrk52rhof2gvyzpcsjd,6.1.1,4.0.3,1.6.2,0.3.11,3.10.1,3.2
bhm7evurkxnc6ja3mjd3bdasww4igkvl,6.1.0,4.0.3,absent,0.3.11,3.10.1,3.1.2
bqn227aqqwced2dwqsx4677jmynhdegq,6.1.1,4.0.3,absent,0.2.16,3.19.2,3.1.3
bscndqwryqbpt5pogl47whn6dkrz6cf5,6.4.0,4.0.3,absent,0.2.20,3.10.1,3.1.3
ctau7neteszcmrbxcvffg6v6ilfe6leu,5.1.0,4.0.3,1.14.0,0.3.7,3.14.4,3.3.2
echiaamiiaq2clnavrupq2ycawsgxy5h,5.3.0,4.0.3,1.14.0,0.3.4,3.11.4,3.4.2
emq3ifbuycbknus3hv5ns72iwqjuo5io,6.3.1,4.0.3,absent,0.3.6,3.16.9,absent
evcqj53r43tgxn4dczzibe34dm4c5sm3,5.2.2,4.0.2,1.14.0,0.3.12,3.0.2,3.4
fky5iewkocnc4hp5cildepvcbica5334,6.4.0,4.0.3,absent,0.3.11,3.10.1,3.1.1
fmgxmg5jyxbowktlpkjbogluoddobrjy,5.3.0,4.0.2,1.14.0,0.2.16,3.15.2,3.3.2
mqmbsfbfcjwyhpg67rbyzn4h5uloiaqe,5.1.3,4.0.3,1.14.0,0.3.7,3.6.1,3.4.1
ts6q44psnspet2webtpycbnnczep4h7d,6.0.0,4.0.3,1.14.0,0.3.7,3.14.5,3.4.1
zncbcqsz5ndbf2xcwnzofjfk4n3hfkuh,5.0.0,4.0.3,1.6.2,develop,3.9.2,3.2.1
zxyrwhg4la6vjwrjg3hp3i56vgg6u432,5.2.1,4.0.3,1.14.0,0.3.17,3.6.1,develop
