,libfabric-version,arborx-version,cmake-version,kokkos-version,mpich-version
4pb4c5nm4vnbbpmvgdhgydy2j2iwpm5w,2.0,2.0,29.0,6.0,2.0
4s5ki6734r4df7wbge66ywoajvfxhigc,0.0,3.0,39.0,4.0,8.0
4tqyhqcjyeq4s363ilftpy23a7fhzgix,0.0,2.0,59.0,1.0,12.0
4wkprxva6lmakokn4ihu5umoy3rnx44q,0.0,2.0,62.0,0.0,11.0
52yljaxmuutvirrr6v2clmatakzzeepe,0.0,2.0,46.0,1.0,12.0
54uvkamhbdedxxnzwsmjj35smiwx3vqv,2.0,2.0,65.0,7.0,13.0
56dtsi6gdxp75rgzaylijtvvs3a4myko,0.0,2.0,50.0,2.0,10.0
56twzmthihvyb5scwo7jdxhqwxxp4onv,1.0,2.0,65.0,0.0,5.0
5a4jusp2u4y2zazvgq6gjummuz2sqkww,2.0,2.0,30.0,2.0,0.0
5az6lq3eatwcudlxupz6pnniun7cdryw,2.0,2.0,42.0,5.0,0.0
5kp4n45dxn2vgwleoiotltxi67eixj6h,2.0,2.0,67.0,5.0,13.0
5s24oapchhl34sia2qpan2ytlw7c5eje,1.0,3.0,29.0,4.0,5.0
5ykk7fdomqn76jzo7q3jt6aj6tzsl32b,0.0,2.0,63.0,1.0,11.0
5yvtjaep5f6f6btzml6dosshh7hbicrt,0.0,1.0,31.0,4.0,8.0
64wp6cjehiabhv6k2pu76mighgk66kxj,2.0,2.0,60.0,5.0,13.0
65exgkahyzjtozfupsktflpnwcutcdvb,2.0,2.0,27.0,5.0,0.0
6agmdymdqbjdfqjjcrwl5rs4hh65xhuz,0.0,2.0,52.0,6.0,9.0
6jdkaxqyzr24mjllwvuuue3b2yquuyaj,0.0,2.0,52.0,0.0,10.0
6mji7g44h3v735emqz5ekbc7etpm6nrq,0.0,2.0,68.0,5.0,8.0
6qclsmuqadedd4oz6zpiebjo5xzvth6c,1.0,1.0,32.0,0.0,6.0
6x36yikimty3hfvpsgecipipnzfz4xtw,0.0,2.0,65.0,0.0,10.0
6zu5qbznumdib3qcqu63oxwkdenbvrdu,0.0,2.0,64.0,5.0,8.0
76h3g7vbb5hen6e5dsv63zqczhxdj7nx,0.0,2.0,50.0,0.0,9.0
7cekrgfew6yypkzrnh5aj2ywoqiztw6o,2.0,3.0,50.0,5.0,1.0
7jo5cqh6mg25dpshyoi2rgggjxdb6xup,2.0,2.0,47.0,5.0,2.0
7kkddalb6r6n7z2zr62q5vv3ghfenpob,1.0,2.0,26.0,3.0,6.0
7qf57bitcbemycdve3y2gfkgd2ezf54z,0.0,1.0,48.0,3.0,14.0
7w4kg3i5ay4bjv6whn5mjariqtffltpf,2.0,2.0,51.0,2.0,13.0
7xd4qrvz6h524udzuvayhnsqlt5f4riv,0.0,2.0,65.0,0.0,12.0
7xtg3bgxcymhyumbqgqek5scz24gba56,0.0,2.0,64.0,3.0,11.0
a37melmhp7djxfdk52lcnbwqqt3mouwg,2.0,2.0,53.0,5.0,13.0
aaan2m3gjfgacmbezsp74dwratfjkzxu,2.0,1.0,30.0,5.0,1.0
ags2vjnxvjgefxw2opl6qiireegpamr4,2.0,2.0,26.0,5.0,0.0
ai4ih4pwzg4mjmentq4sg7fb2uieneau,2.0,2.0,58.0,6.0,3.0
aqalfnxk6n3eoqgir4njpxfi264dyasp,2.0,1.0,36.0,5.0,13.0
atfyig3umbl7bpga755zehmd2by74g3d,2.0,2.0,58.0,2.0,13.0
attm4peai6j36tdda75zjv3ers5jkalm,0.0,3.0,43.0,5.0,10.0
b2rfatsq6eiwrp57kov6qf7e3yy6fdgf,0.0,2.0,61.0,7.0,11.0
b3laml72ins3ouxsvqlmoyyglpqrtws2,0.0,2.0,67.0,1.0,12.0
bajkmxnvoksaunjxvmob4qbe2sg3r3sq,2.0,2.0,63.0,3.0,2.0
bnlcrjhiwr6btj3dfzjhhmqbwhgefrkw,2.0,3.0,38.0,5.0,2.0
brdovokxoles3giy4bu266k2six2pbcm,0.0,2.0,55.0,2.0,8.0
btnufhujb4vf2rgmb7m26x5xy7cxwaml,0.0,2.0,47.0,4.0,14.0
bucyiyvse6pypn77gxwwndjblkgwx3kw,2.0,1.0,67.0,1.0,2.0
by74hccc3vxxfi5hyka4hyidled5rmhe,0.0,2.0,66.0,5.0,7.0
bynfl2f252psv5h6ma2uffjiclml3mj3,2.0,2.0,34.0,7.0,2.0
c6vbfdtfczzxzqrhotk4vtlviemerruj,0.0,2.0,61.0,2.0,9.0
cgig5xej472qqvguwgznrvd53gcxlr35,1.0,2.0,58.0,4.0,6.0
ci53yqcq2dluf5f4g62jsxigrznye5y2,0.0,2.0,47.0,6.0,12.0
ctgdhkugy5poslxfh6h2f65ff5kmphj6,1.0,1.0,48.0,3.0,5.0
cx24ciks43megehhm5rzqn5tlp5l7ugu,1.0,1.0,34.0,5.0,5.0
czot5cmpa22z7ks2z6rtd4l2jm3gftaw,0.0,2.0,56.0,3.0,14.0
ddg523tgtl623drfkvgstczew7j2d6im,0.0,2.0,59.0,3.0,11.0
de7j3ym3je6nzg4hnvxvgk4tdcmmbvf3,2.0,2.0,31.0,0.0,0.0
def5437g23yu3v6ndbkiug6j3o4rkjo6,0.0,2.0,64.0,3.0,12.0
dhyt3kcw2hrtoihenqlfc2ktrfiw4bch,0.0,2.0,44.0,7.0,7.0
diipgdjjkxu5l2hic4mmjmd2sgdbh7tu,0.0,2.0,30.0,2.0,12.0
dmjsnawf22wtlsgznj6gsmjk74knsa5z,1.0,1.0,35.0,6.0,5.0
dnyzva3yo6rlewvmvhua6rzqcaom63kk,2.0,2.0,30.0,4.0,3.0
dot5lb3zsbkll5lew3j3rx4lbhcqgozg,0.0,2.0,60.0,5.0,12.0
dwnx4g5ofnujbvly27qyfotp3kothhw2,2.0,2.0,42.0,1.0,3.0
dy5vgo7fkx7elgizjpdqdmxu4uqg7a3p,2.0,3.0,30.0,6.0,1.0
dzbqjv73gjlfj2d6rdekry2b6suh2rxk,2.0,2.0,54.0,6.0,0.0
e27557xrlgxrnd5jk36lk6x2ioyifvkl,2.0,2.0,57.0,5.0,3.0
e2do3kfx5kzs5r5augciierqrf45xgno,0.0,2.0,62.0,3.0,10.0
e2figz2zzmurj7fo52cczanskwll4eyw,2.0,3.0,41.0,5.0,0.0
easlpmuj6vicvhiq4mfucqmx2mjyvmda,2.0,2.0,45.0,5.0,0.0
eayqdvxm5aitzzo6kgrzrhojuom4vqxb,0.0,2.0,64.0,5.0,10.0
ejzlhsm5w7bmfc2jqmgojpve2462zheq,0.0,2.0,43.0,3.0,11.0
eru7xhpaa3lvg73mcd3ywwxomod6uw4g,0.0,2.0,60.0,6.0,11.0
esfp4g6cvpnvsmnpz5uwwau3jm7bzygd,2.0,1.0,47.0,4.0,4.0
etp53dspe3k2e732s6voqg5d6xqxkbnd,0.0,1.0,53.0,0.0,8.0
evpwbi7xclogojtwohfvkcmwqetn75ce,1.0,2.0,52.0,5.0,6.0
ex2w3jtima5p32l4oc64m6xloyr4q6ae,0.0,2.0,42.0,3.0,11.0
ezgfofpcmzkia7tyiyzjypczdioa452j,0.0,3.0,67.0,5.0,10.0
ezmljsxt3wr6kybeqxfe5qvjiozy77ua,2.0,2.0,30.0,5.0,3.0
f2ejp3b2w4atuti65vhxqcnddhhqumyp,2.0,3.0,41.0,5.0,2.0
fdgy35ueq4vgvbayaeshhj57k4gxwpgu,2.0,2.0,59.0,0.0,3.0
fgmj7qmzibt72m3oa67vmjn7qmtoiofz,0.0,1.0,47.0,2.0,9.0
fgnpylw3ani4ujnabecboap567ybb3hd,0.0,2.0,33.0,3.0,7.0
fiyrrje777cdls376ri4tzmsjf43psn2,0.0,3.0,38.0,7.0,8.0
fm2fns5z4kyvp4pdqh27zt2x5wwonwwc,0.0,2.0,31.0,1.0,7.0
fmvldder7st7idp2lsx2tgpocsxribx7,2.0,3.0,34.0,5.0,0.0
fpqwfypwzxtcr3t3ya2k2iki2mdrullm,0.0,2.0,48.0,6.0,10.0
fqgb5utzernfzbqfnqgf2qbp3mxw4t2h,2.0,1.0,34.0,5.0,4.0
fszp43dnwekt2mgwxtkbpng57uowxqin,0.0,1.0,38.0,0.0,8.0
ftsju7kgk5a3up2e2lkrmogofuq6dpn3,2.0,2.0,33.0,5.0,0.0
fw7qdq3tbvncew3x3he4ibwxmjsqmrvq,0.0,1.0,39.0,5.0,7.0
fwneq7zcjcus3r2ucugbjlvord4n7ses,2.0,1.0,64.0,6.0,0.0
fxuxwwwr2birtzhnogkyokyqmq66ozlu,2.0,3.0,30.0,4.0,1.0
fyo2sm7d7vri2qxxaz2cdc5osvg4ok5g,2.0,1.0,26.0,1.0,2.0
g4fzijhbuhnylr3rwuue7icif4fdzaro,2.0,2.0,51.0,1.0,2.0
g553gfzmku5hu6gdmmouboc3eihysm6q,2.0,2.0,63.0,0.0,13.0
gc2vhuzeus4engjtvwpnu6si22rx7pll,1.0,1.0,64.0,3.0,6.0
gdrdlafzxenuyey4r6phe257wqrdwjtd,2.0,3.0,61.0,5.0,2.0
ghundr3cxqhjmmygmzv6cyhrpd3tl6e3,0.0,1.0,40.0,2.0,7.0
ghzlsk7x7hwnxsogaczphsboqmfieian,0.0,2.0,27.0,3.0,8.0
gjsvpf6q2ziqnu7cjjvk5pwdxr46awpe,0.0,2.0,64.0,2.0,8.0
gmgieujkubd7cwbud3am4d5k7v5tff33,0.0,2.0,65.0,3.0,7.0
grjytpgc2uwhr2kyglsth3b6fxruywmw,0.0,2.0,32.0,1.0,12.0
gtixtrr52tyzxnsavd7e2h2eq64yubm4,2.0,2.0,53.0,4.0,2.0
gw7mv5rzkl3xruop3twu3hr5lq2k6bqr,2.0,2.0,38.0,4.0,4.0
h3l2mxdrx43clsi75nbgbtjjcdcfmr6t,0.0,1.0,37.0,2.0,7.0
h44fmcvw7u4izdmrrg6tm5razeg3qeyn,1.0,1.0,39.0,5.0,6.0
ha5paktb5xcz5rmwwusdkhr4a24aq3ma,2.0,2.0,33.0,7.0,3.0
hawzvfh2mbyktp3fxllxd23gpwplajdg,2.0,2.0,50.0,7.0,0.0
hbdx4lhkxey76dqibo7kknontgifx67r,1.0,3.0,27.0,5.0,6.0
hdvv3heyv3snhq6bwd4xcfzl6vctaogz,2.0,2.0,56.0,5.0,13.0
hhvx7itlesdpzz25tgcudplhavdgvzw5,0.0,1.0,55.0,3.0,12.0
hig6x7cdho7wd54ev7lgarvfegjmatm4,1.0,2.0,54.0,2.0,6.0
hjk7iwg3uqvhrrrqfwpx2po3epuku52f,0.0,1.0,51.0,0.0,10.0
hlnuxgrgr45mbmmztfy6uglb7xueeqzk,1.0,3.0,60.0,5.0,6.0
hnalnj2ebepyyfk3z3up6ecz54oq3fkh,0.0,2.0,55.0,6.0,8.0
hnt6xi37sohuulsc5uh6p6btrgowguih,2.0,2.0,59.0,7.0,13.0
hrfiqb2ytzwrhe6ujy5hozmz5pvmkrcq,2.0,2.0,40.0,6.0,0.0
huo7ohi53b7opsqjabo6xknpybcydsaf,2.0,2.0,37.0,6.0,0.0
hxg5vp2ov27uef2yixu766cjipfbajyj,0.0,1.0,35.0,7.0,12.0
hzvuykt442p73mio3zloptuuysnarg4r,0.0,2.0,28.0,6.0,8.0
ica2h6z6gwwatxsh56y3jno6cqirx7xa,0.0,2.0,44.0,7.0,11.0
ie34xiaqcqoxa5dlsuf7rdkp6yg7cyjb,1.0,1.0,51.0,6.0,5.0
ifpimxmuuvkvanikzqp6thbm33osfmek,2.0,1.0,49.0,2.0,1.0
igekbezwwnkpn2v2u5yvjpqakpajaic5,1.0,3.0,49.0,5.0,6.0
ihkyhpiahtovmvuekfydgfqo5ws5hwd6,0.0,3.0,68.0,6.0,14.0
il4kd7frij5tyinq5blnacw52rvbfjfz,0.0,1.0,43.0,4.0,10.0
irith2ep2zohj3z4uhbiubmapeprouzz,0.0,2.0,45.0,3.0,11.0
ixb2x5htbcb6ettu3uc6dl6t3vw7hg6z,2.0,2.0,53.0,0.0,4.0
iywcapqe5xs27r6lddr5mzzi3qua2r6t,0.0,1.0,52.0,2.0,7.0
j4a6irabkn4chjq5rl5d33pbc4s4pvnn,1.0,1.0,35.0,5.0,5.0
j72f5qtz3plq63es3awohk7zhoeh63va,0.0,3.0,29.0,6.0,11.0
jd32t2f4h4ftqybnwlz23cz7v234mlk7,0.0,2.0,39.0,5.0,7.0
jhuiytl4767r6k5rzn3b5utcffy3hpzt,2.0,1.0,45.0,3.0,1.0
jm2c4cpz5honfdakyriviwoajplb5gia,0.0,1.0,63.0,5.0,9.0
jpjpcjmjbpybtcahkmtsuht3ck7jhxwd,0.0,2.0,29.0,3.0,7.0
jstopond55yiycrlzshx7kijjvfizaeb,0.0,2.0,30.0,2.0,14.0
k2drsh37hwcr25lew2vxjizjpoaipvna,2.0,2.0,65.0,7.0,1.0
k2sc5yvkolujbl2llfmptcjwumnczmer,1.0,3.0,33.0,6.0,6.0
k43g64jzbpssjwsgohai35gqisj3oxqv,1.0,2.0,40.0,0.0,6.0
k7xx6mx3mjmqncgoihmbr4aj6ozjpsm7,0.0,2.0,28.0,4.0,7.0
kej2ndf2aoyxanfzymncss2bizf4a76e,0.0,2.0,31.0,3.0,10.0
keyoezpuhdi2xhxwyd67lfvne666tjwe,2.0,2.0,57.0,7.0,2.0
kgkyvljghsbxujjzipchugs6mz4aj22h,2.0,2.0,60.0,4.0,3.0
kpry6gnoelsm2amoslt2d52czwdlzgly,0.0,2.0,26.0,5.0,7.0
kvylte4qs45enfdibrihucwkvtghhxcw,2.0,3.0,29.0,6.0,1.0
kyns7vkf5nudik4ol2e3uxghizs3xtni,1.0,2.0,65.0,0.0,6.0
l3c5qvh4dfn4juqawdemuamnh44igdvg,0.0,3.0,38.0,5.0,8.0
ldp7djoovlnysxhffionoszopozfemor,2.0,3.0,68.0,5.0,1.0
lfn2fsqvwksltolytnlily24afltjvzi,0.0,2.0,66.0,0.0,8.0
lhh3r7zgksrx3cxs6lf5wweeme3kzmkd,0.0,1.0,65.0,6.0,8.0
lhp45ax2n4tjuv35yh4puqt3z5lwpf3c,0.0,2.0,48.0,2.0,8.0
lxubnztxy7yk6gcz7rcimgrsfrtxxwqi,0.0,2.0,38.0,5.0,9.0
m2mq4t36b6k2lmzrtu4xrg4ozn7zldm6,2.0,1.0,35.0,7.0,4.0
mknorj53aknhhnsbqxynqn3t2boxtxy6,2.0,3.0,37.0,4.0,13.0
mocqzhlbku5637v2ky4aejtmrkuzdwk6,0.0,3.0,30.0,5.0,8.0
mqwkdpqjqsqgsdxvk3sahphmybryn4wj,0.0,1.0,36.0,2.0,10.0
mra6u5h3yh26pijhqwwtpuzvqpftvfb4,0.0,1.0,65.0,0.0,10.0
msy352y7n6cuz7qxnjppolxgv252iiwm,1.0,2.0,27.0,6.0,6.0
mvzrrkmcrytuwx6qyjy5vayntwqkubuj,0.0,1.0,35.0,7.0,8.0
mzfbkt76h4ilghgwi4xh73r3ver77azd,0.0,2.0,32.0,6.0,7.0
n3oimrvaux5yj6kqqjsle6tg2ws44s35,1.0,2.0,59.0,1.0,6.0
nakfckwkxovvcnqzam326c3cxuimifhf,0.0,2.0,28.0,3.0,7.0
nay7njxb3uybmheyhjiycqxshy2v5rpw,0.0,1.0,40.0,4.0,11.0
nikbphlborobkjcfqmq3bu42jz6atd6k,0.0,2.0,56.0,6.0,11.0
nnmnepkmpy6uixcvjn3vv5v3lffvpwc2,0.0,2.0,33.0,6.0,9.0
ns6xt3vcgtnhmwzkof4qu6cfwaf577b3,0.0,2.0,44.0,5.0,8.0
nwzch5rhka2wfwdbolnujgocd6uyszqd,0.0,1.0,52.0,0.0,9.0
o7ayg7yjaaohyw3jfcr3kcqw74ygqzut,2.0,2.0,31.0,0.0,4.0
oaeprwkdt5ov2dy6fq4r5kwh36clmrcj,2.0,1.0,38.0,2.0,0.0
obzzicl4hkbbt3v7v4s4l2a3tv2nykid,2.0,3.0,33.0,5.0,3.0
ocy5jpiwkooecesphvq2gwct7iww26gu,0.0,2.0,28.0,2.0,8.0
ohgym6qpo6p6flj534ihf5kp2mmvcojr,0.0,2.0,28.0,0.0,9.0
oipwk5jvjx7hyq2be222foyp4xwinkcu,2.0,3.0,62.0,7.0,1.0
onvezqxdy5yn45zwpkevwrzhrrdphwfm,0.0,2.0,41.0,5.0,14.0
oqbzffncduvtj2jdag5mylnlbgowrfup,0.0,2.0,59.0,1.0,9.0
owsizm6rscmcfy5g64wr6nto6mf4mjdj,1.0,2.0,63.0,5.0,6.0
p4munmywjqdwq3vrqclafek5vtzg3rtz,2.0,2.0,37.0,5.0,0.0
pagwu24vnagvdifnmbff7kkk75n7jool,2.0,3.0,43.0,5.0,1.0
pt5uottdpqhsxh3g73cifut3zir35hcf,1.0,1.0,63.0,0.0,5.0
ptz22iruxpqnkuz6d3qefptvecbvxnb2,1.0,2.0,46.0,5.0,6.0
pv66layaz4ympbyq4rdyras5gvwn7a4i,0.0,3.0,64.0,5.0,14.0
px3rurlyp6m7xbuqgju4u7onh4rr7qjl,2.0,2.0,47.0,0.0,2.0
q2zmizng4emgjh3ch2szpzxrjtfcfsng,2.0,1.0,60.0,4.0,0.0
qbczjclefvry6m2k4sapdmjhxt5ljas6,2.0,3.0,51.0,4.0,3.0
qfo5ga75trcsnzhx2m4pwyt77wsqtihe,2.0,2.0,30.0,7.0,13.0
qjofahtarpywgqi7yhmnkl5eyxmxjzci,0.0,2.0,60.0,1.0,8.0
qmjmfmxi45c46vjnerziv7jbq7yktbcm,2.0,2.0,52.0,6.0,4.0
qrc4tqwphm6emt4n4aoidsebajedpy3j,2.0,2.0,49.0,0.0,1.0
r6zs7qc735wl65tiqqb2wusz6d4xe6o7,2.0,1.0,43.0,2.0,2.0
rcuj4hbkqxz5vbiaxezcrcaemvdluods,0.0,2.0,46.0,1.0,10.0
rdheitsl6okpqlpfsqormn5mwpgwew3r,0.0,2.0,48.0,5.0,12.0
rk5jwevqonll5svivhar3pdxc6rhmbae,0.0,2.0,33.0,3.0,12.0
rmhgyf6pgmyaj3lszpcik6c7kety3pwi,0.0,2.0,37.0,6.0,9.0
rn5tqs544233ha6whuly23vdnptuifx4,2.0,3.0,26.0,6.0,4.0
rppnv42f5hmmbruhd22znbr5efjlhapj,0.0,1.0,42.0,0.0,11.0
rpt2vmxhbqezprxerjmlug6urny7bw75,2.0,1.0,60.0,4.0,1.0
ryh7wpjjvcf6scbb37sn56ubel7wgj72,0.0,2.0,48.0,7.0,11.0
sbqfkbf4cbb3ao4l5bnregz5jmw7iskq,0.0,2.0,26.0,7.0,9.0
sc5texawpv7jl5bsxkpccsd6vioo77qj,0.0,3.0,54.0,5.0,14.0
slebqexail4it4icqnc4londjrydhnr3,0.0,2.0,52.0,5.0,10.0
slkagf4wl6uaudvrlalamhbocq5nimgl,2.0,3.0,67.0,4.0,2.0
sqhq5gwlme3gnhqfsdseeguv44q7mabs,0.0,2.0,43.0,5.0,12.0
sr36adbzbxcpdajfjw2gv5buxai5t4ct,1.0,2.0,64.0,2.0,5.0
stp6iof32k36xkoencef4rwxkymf4b54,1.0,2.0,46.0,3.0,6.0
svlpgzdl5mrmtovriex6b5y3lgacofns,0.0,3.0,48.0,7.0,8.0
szwxlv6etoy2yk2fhjd73x4w7pkftpze,0.0,2.0,35.0,0.0,10.0
tfxmjtio7whfjo7wdhheupikvaj576qb,0.0,3.0,32.0,5.0,8.0
tmgpwompxmpzunpxcfr4ddcj5hskxdog,0.0,2.0,50.0,0.0,14.0
tmlqmbugxfmhedjyobzmmhoj2sf33vm7,2.0,2.0,59.0,4.0,4.0
tseo3avxiuq6tusk3bzca7de3a5elmhp,2.0,2.0,58.0,7.0,13.0
u2u64nuej345xz2sf32yu4rvvxrn6tjb,2.0,3.0,52.0,5.0,0.0
u6ehspje4emp5ypoeciiwfy5g5y6h6x7,2.0,2.0,47.0,3.0,0.0
ucxpoporb53k4pbb53mu6ffximurpxl4,2.0,1.0,37.0,7.0,2.0
uirbt72ebpfykperud4ztqo7k6tbtivm,0.0,2.0,67.0,0.0,12.0
ul6juzyesbkyf7qn663he4pks262hvgf,0.0,1.0,42.0,5.0,11.0
usnqrjywdkat75jcl6yneoymsd2hpk3f,0.0,1.0,52.0,7.0,14.0
uvzplq56p3bnkbhv25b6ezlnwfapfihq,0.0,2.0,46.0,7.0,9.0
uwys7avtuudes7gmhuhppo4nl6rg2cod,1.0,2.0,53.0,5.0,5.0
v2z3ipnhnje2tbalrhb2ylko7qyigeu5,2.0,2.0,32.0,3.0,1.0
v5mkhvkei7d72nvji4ynzc5qevz5nrto,1.0,1.0,26.0,0.0,6.0
v6ozlejmvfojdj7omyc32vtnkh4hcbk2,0.0,3.0,33.0,5.0,14.0
v6vb332jquxacbqhd734ixgxxrchuwd5,2.0,2.0,44.0,5.0,13.0
vm264d7qumtyds5tvltbxyiimqhwd2jv,0.0,2.0,63.0,5.0,12.0
vox6drmpqcctmhhgiiu4532y43q5njhe,1.0,2.0,62.0,6.0,5.0
vwh6gcn7k5melk67wcgnobpddvnav4ae,2.0,1.0,31.0,5.0,4.0
vxq6q6cdbtdltmu5xjas4w2tahbsckh6,0.0,2.0,30.0,0.0,12.0
w6mbvk22uistxapmqkz7tkz2oz2cba25,0.0,2.0,44.0,0.0,8.0
whgen6mvm2phpeopmn6uh7ut5k6swwqu,2.0,2.0,46.0,4.0,1.0
wi7fnwq64mt2cb2oby4sbva63fwdxrf4,2.0,2.0,31.0,5.0,4.0
wszk7jeumct4yr6ob5fek3kezlbawvah,2.0,2.0,43.0,4.0,13.0
wwwp5dwtmx4w35skruqermjxxktfa7xe,1.0,1.0,26.0,3.0,5.0
wxaa3qod7qoadyzlm53c5orpvnhg7xyv,0.0,2.0,64.0,4.0,7.0
wxrn3fb3pacp24dnirg2uwdv7cmapbof,1.0,2.0,28.0,4.0,6.0
x4zywhbsatapc7spx64x5ryvbjbezuur,0.0,2.0,50.0,5.0,14.0
xa5xdxxcszrf6velrzt2wwrncrcyqijz,2.0,3.0,38.0,4.0,0.0
xa6aehikkynuduht6shay7pusua3mnvt,0.0,3.0,52.0,5.0,11.0
xjnr7ly42jynsbte6tgozu4pzzwdv2eb,2.0,1.0,42.0,5.0,2.0
xo23juo4d3aefaa4ccuspadrbqfwdtv5,0.0,2.0,47.0,0.0,14.0
xrqa4adbdqizw2sa7sw4wcconsoeuxmj,0.0,1.0,67.0,1.0,11.0
xuq7ixnvimx2bivhd2e6hhx6g6zwip5s,2.0,2.0,41.0,1.0,0.0
y3ytcc4d5g7hn5m6ei7gfugeuegdk7gp,2.0,2.0,49.0,6.0,3.0
y54jq3qm5gtfdbz357pom2o7wfnrul3n,1.0,1.0,40.0,5.0,5.0
yftvpa2laz5chvn7uslrd6vedpsrrlix,0.0,1.0,40.0,2.0,14.0
yi2pc226a2m6my4aiuoza2yecx5bu4cq,2.0,1.0,57.0,6.0,13.0
ymdibwqmi43haxnetrqippqytwgwa4m5,2.0,2.0,59.0,0.0,13.0
ynqdzxllcptp46iu6v4upnlqf2ijotda,0.0,3.0,48.0,7.0,9.0
yrnalhmvutufkm3nzagcxlyeukeoh43q,1.0,3.0,64.0,7.0,6.0
yuprqar3gjghd5ftbvzz4wos46kbkxfu,1.0,3.0,27.0,6.0,6.0
yw3uz5v2w5utny7qy4lexrjxqzf4ifm3,1.0,2.0,58.0,5.0,6.0
yxfolxpxsiflpjcfkredbh25h4nni5uc,1.0,3.0,30.0,4.0,5.0
z6yi22c6zveoxwev46hhtwdk5itmuvrr,2.0,3.0,66.0,6.0,3.0
z7dqtqkryklga5er6yrgunl4zbihpzr2,2.0,2.0,43.0,0.0,3.0
zhp3tffjkdoqbpiuxht5cli2pa34mrek,0.0,2.0,39.0,3.0,9.0
zic7bbexh7fh5nucbvx536kv3mn6oflh,0.0,2.0,54.0,6.0,11.0
zl2gkzg7giuabnaao3gs5m6rnqzzj3lt,2.0,2.0,40.0,7.0,13.0
zs2scugyedtefqixfuirslfor62kftnw,1.0,3.0,49.0,7.0,6.0
zw27ijzw6wz3bphgf4sirdccd2ejpzig,2.0,2.0,32.0,5.0,4.0
zwrmunkalgtdv3u4peahlkqbjc5cjwto,2.0,2.0,36.0,3.0,4.0
23f5qyqvnz2fbr7oua4rilksdh4dxlzw,2.0,0.0,6.0,7.0,1.0
2erh75kwmvovzbwr5uqig6rigtazeeav,2.0,0.0,53.0,5.0,13.0
2hzhky4ogtp6p7yst5prbg2iursdeqgo,0.0,0.0,34.0,5.0,7.0
2nkyylikwpvut6nc2btoai7m2v2uvcdu,2.0,0.0,54.0,6.0,0.0
37miiyacric2dko5eal5vpuegps4tey7,0.0,0.0,17.0,5.0,7.0
3etoyz6fdsyynwaorhgj4to6j3cy6n2m,0.0,0.0,60.0,1.0,9.0
3h2yyspqx43mlggvleap3owwigtzaizf,2.0,0.0,5.0,4.0,0.0
3lym3inqflnrfuwk3ej5pmvlaljeg35i,2.0,3.0,63.0,2.0,2.0
3mkryjd7emibn56yzov4wggjhfgoqgat,0.0,0.0,8.0,2.0,8.0
3sgh6ahn645t7d52b5svmlqnzlcqpzun,2.0,0.0,35.0,5.0,3.0
3vb7ojzm5pnhthxx2wtisx6cf4zyl766,0.0,0.0,27.0,4.0,9.0
45dskenak2ezzhjf5yqrgidtmy2kypqy,1.0,0.0,45.0,5.0,5.0
4glj3try5egbt2ctyex2sgfs7yamovxh,0.0,0.0,0.0,7.0,10.0
4jjhi7ie6bzbgq5khc2wfwwpuzgmfsih,1.0,0.0,53.0,7.0,5.0
4pu5nwhnyi7ucxqmh3z4hu2gdmxrkyig,2.0,0.0,33.0,2.0,2.0
