,tasmanian-version,libfabric-version,cmake-version,mpich-version
j6aanwscjirzpwd6elrbkcfbor7ydlc6,2.0,0.0,56.0,7.0
j6tsn7tasshqtsy54ebw6rgbp4xv2vfq,5.0,2.0,23.0,3.0
j7dtl3lib2vyymqiw5rie7dpwerx3usk,7.0,0.0,29.0,14.0
jafk7amxw4nwncoq2mhgkxrapjwc63tp,0.0,0.0,58.0,8.0
jaomry27mnx6cdaoivts2qsjvcbgos4j,7.0,2.0,67.0,0.0
jawiv5n37fgwanoywpzhdmn5ae2qfm6f,1.0,0.0,40.0,12.0
jbgqnd6ggnwqh4waqeuj5ml4hpdzdoeq,2.0,0.0,61.0,14.0
jcgkuku6il7evqiqu4m5a4fiz7l4hric,6.0,2.0,34.0,2.0
jewxycyhigg2ykl6mstd6enkr4oplyi2,3.0,1.0,74.0,6.0
jezstxphiitppatg2srdu6osr6wxjfvm,0.0,0.0,90.0,10.0
jfrup6iviijpskfxblsb2uectig74fhe,2.0,0.0,28.0,10.0
jhx65vfkr3pxzydijznmetgdxtlyk2ra,3.0,0.0,67.0,11.0
jiid6kqhbty6bxcwo5vlxy6lsd5xtwfa,3.0,0.0,67.0,12.0
jlhrw5myuouktf2g3w6tg7ises3s67h2,8.0,0.0,40.0,8.0
jlki5x5lsed5yqamuztv6g4cj6w4k3js,5.0,2.0,68.0,2.0
jr5rihyvsw5yvhefbhcwdeezaruhjuml,7.0,2.0,12.0,3.0
jsryohglsiyzbc6dvawlcevmtvd367u4,3.0,2.0,4.0,1.0
jszh57ays3doe3rrvqjbel7cmlqisqnz,2.0,0.0,68.0,11.0
jt25ykvpn4v46kfhagxardqsecallp4t,6.0,0.0,52.0,8.0
jwxtulvkokr2u4vjjqr3g4hatpw6g6k4,2.0,2.0,73.0,13.0
jx35uwzd6o2xkeryjez3da62igdtpyiz,7.0,2.0,42.0,3.0
jxmiuqety2ebyyob5k74q7vjuurdmiym,4.0,2.0,66.0,0.0
k33ri3yb46lhvlqi7njz2uetcbriltf4,8.0,0.0,27.0,12.0
k6ctseoad2dbwf3cibsttmzbiquf4g27,3.0,1.0,28.0,6.0
k7dwrjbpimr673bfblv77sm5wzefc46n,0.0,1.0,89.0,6.0
kaicacgwh4o3smpb4euhunfrsf3eb66q,6.0,1.0,41.0,5.0
kcqyi53ksnubppff37l5rlpobizynbmo,3.0,1.0,75.0,5.0
kczgdartrtijscpw2s3t7pf56rhrbkoa,1.0,0.0,78.0,12.0
kd4k7jxlwdgp2m656zpwxjzd32k4rx67,4.0,2.0,16.0,3.0
kf6rx5x437eprujoucxdgaalrmfihaby,6.0,2.0,69.0,2.0
kh4e2ecmefxnszuvcesi6yfk2v4wchm2,1.0,2.0,12.0,4.0
khfza3a7tntmnhww7rnvfzdscsgeocv5,0.0,2.0,63.0,3.0
khxjsbtqelaojscujolhvoow4lcwf7lx,6.0,0.0,45.0,14.0
kic6drhr3txxzyxtwc3xpw23oanxduao,5.0,0.0,29.0,14.0
kig5oljlp2ji7lmcvswkdkzie7ud2564,3.0,2.0,77.0,3.0
kj45fsugacywq4jrdltbzve67ravvwj7,4.0,2.0,75.0,13.0
kjg5zyy726rawp3zgiz3rr4wfpxmroni,7.0,0.0,44.0,14.0
kkzfxydbemedjrpj764tc254frkjqkvq,2.0,1.0,82.0,5.0
kl6p46qg4m6udck5eo42sfzmh4fxtnz5,5.0,1.0,41.0,5.0
kmrbq7gnzuy2ahqlyb4xo4hszlv2hx3x,8.0,0.0,44.0,8.0
kpb5zfqwuxqfqv2pozl6oscj7rnef6ne,1.0,2.0,41.0,1.0
kpzh635nw3ufgmfduuo45pqidyvovmum,0.0,0.0,20.0,12.0
kqxm5jvog5r2bm3u4j3gksmti7db5j3z,7.0,2.0,96.0,4.0
krh6vfx7tgyprwuec53t45jrqjspks22,1.0,1.0,10.0,6.0
krtemevttfhhjwwyhdrxmk47a6aooqn2,1.0,2.0,39.0,2.0
kug56j3dysmatg5zxwfgk6ritsqahnya,0.0,0.0,33.0,7.0
kvghetf5dveyab7kz66kir2ugqauxjgl,5.0,0.0,36.0,11.0
kvrkw5oodelzdwhpqkc75ervq46v2huz,8.0,0.0,45.0,9.0
kw2kpl43fpfgwqscilyiazp5lmt625sj,5.0,0.0,30.0,9.0
kwifwjhwt6et5tclmbbxemo44ermxhpu,4.0,2.0,7.0,2.0
ky5uy7z2vprutp2vbbei3pyvbprwpt6n,2.0,2.0,24.0,13.0
kyp3qfsefxzdkcfoinqyeglqe34euvj5,4.0,2.0,66.0,13.0
kzooo7ydzfoge2qokb4g54a5pwquibjp,3.0,2.0,73.0,3.0
l6nh6aif2mwnzlopfm6ecgtiflirq52w,4.0,1.0,11.0,6.0
la3xdc6hk5lr2ndi27n4d5car7oqan56,0.0,0.0,63.0,7.0
lb5rg5tqzip2xuzdj6nghchlvnho4mje,0.0,2.0,9.0,4.0
lbhjkgx4hnmlfstegcdotbgtpjegxact,4.0,0.0,46.0,9.0
lfdndnnkhzvrzxw4rfgcssyjsbbtendq,2.0,1.0,25.0,5.0
lfu3ch4b4qytlkqglsipw3cw27yzfpsi,5.0,2.0,73.0,3.0
li2xntw57653sjnf3lculay7ag72utsl,1.0,0.0,5.0,8.0
lna52wifnvkvq2qoknmydxtrpodg3y7w,8.0,0.0,15.0,11.0
lotgbdeugclibxqvsxqawitbc7qfyiq3,4.0,2.0,61.0,1.0
lphmypjf76pue4raumngwwytkl2i2s6e,5.0,0.0,68.0,14.0
lrk5a3tm6zvwj7cn2a27gyacfoytfaqs,7.0,0.0,96.0,7.0
ltemwghg7xghqngvuutwkt3hggvh3ehw,0.0,2.0,44.0,2.0
lulxmow7bpbryyozhzojiy2lz7fanky4,5.0,0.0,15.0,11.0
luqznwiiudzbdgstmugiyhzysxmeixld,3.0,2.0,14.0,4.0
lvx4e7slnlcrmpxtxik5644auxreaehp,1.0,2.0,33.0,0.0
lx6wtsp3ue4aqkedvip347ccsujbc2cn,2.0,1.0,77.0,5.0
lyydactwpzhljtfxv3tnm5g43jnlodzy,5.0,2.0,10.0,3.0
lzgj63pv4xakmlppsyj4wwrhvmhfh626,2.0,1.0,76.0,5.0
m5627scnrml2l7zn2ensbam24oq37syh,2.0,0.0,47.0,8.0
m5wvkjxjcxcr7kztixi3qs22gntbllnn,8.0,0.0,50.0,11.0
m7pv6w4kviasi6cblbxieoh47nflh33o,2.0,2.0,33.0,4.0
mai6nerltwozhibad3weiy6iop7uetbx,0.0,0.0,18.0,12.0
masljdw3sh7nlj4ivmwnn4vjbhtpeubh,5.0,2.0,25.0,1.0
meb4h7obos2kkro2p4h7r4n3ttwhybca,0.0,0.0,78.0,10.0
mghybmhvsn3zxgfme7mgdmp7ppkqpqe4,4.0,2.0,2.0,1.0
mh7bb5jro7dhed32yibjty62bhduwuvz,0.0,0.0,31.0,14.0
mhcnpn2d2urzwf5rw25qzdzaiizfgxyb,4.0,1.0,19.0,6.0
mhrbdlzm6fz3p3dfyn2q7pb3v2gq56z2,5.0,0.0,16.0,14.0
mjgg7upcizjcu2vrx5yrijto724e5nnr,1.0,2.0,43.0,4.0
mldeitbh2bmbalgnoaan5ulji7yfl7wv,6.0,0.0,2.0,12.0
mliqr7krfiomfwgchcfzigpav5vjgrqz,1.0,0.0,56.0,9.0
mngpasoxyd5wj7qsnc5ii3rs5l3ez5pw,8.0,0.0,6.0,10.0
mnj66qa6avlymswp5ekh5eyglz5lnegq,0.0,0.0,68.0,8.0
mov2hogfbjcfwhvtu5rpfxwsvfv5fpka,1.0,0.0,70.0,12.0
mp5brvr2igfqqzcszcresu2soahypqen,0.0,0.0,13.0,8.0
my4pqsmeyzg4bh7dp2v3ykippfhjnvxv,0.0,2.0,9.0,2.0
n44ypfgbzptdb7o3pbwjqgm6ivt263uq,1.0,2.0,45.0,0.0
n5rh47oarctsesvntfuagtnhxhp42kf4,4.0,2.0,18.0,13.0
n6oljyyn5bxfqlguxqp76thj67xgltuy,2.0,0.0,20.0,11.0
n6pgvbvqfgstmilsm6dcql7cmiid256r,1.0,2.0,70.0,3.0
n745djmyba27sbpl54efreohzkkg6nz2,3.0,0.0,73.0,14.0
n7yo2x2zce7sjlgp26sew57uvyeg2bth,0.0,0.0,90.0,9.0
narblfuddyvts5gv7dnsdant3qfr4swh,8.0,0.0,46.0,10.0
ncimyp4pap7jf2gldl7434acrcsnd3fq,4.0,1.0,57.0,6.0
nd4tip2w2j7xfbzk5yyki2m3ziglkqxw,7.0,2.0,24.0,1.0
nehkbw5oy6olmvmdiex6u6mdnzpy6fic,2.0,0.0,88.0,8.0
neqaqy65qamam3pnvzkb6al6blqw34uz,1.0,1.0,59.0,5.0
nj7pdh32ozhzs7xyglriqcyaxcyeibkl,0.0,0.0,40.0,14.0
nkturufr23ygiexnqclsb6ruqynqtdab,7.0,0.0,58.0,10.0
nl5nzrpxhg7ebr5rn5p7cy54fddkdoge,6.0,0.0,27.0,11.0
nl6bas4c5p364gfhsayjgceyev6kssbw,3.0,2.0,78.0,2.0
nmxl2sqyhxpejuneepac4skmipgi7dc4,0.0,1.0,10.0,6.0
nnso3npumdgdztd7a7yqlreldoqxr6i3,3.0,0.0,23.0,7.0
nplzymn7lygsexkwwi3w5au4crtkdm2t,4.0,2.0,19.0,4.0
nthmbjsbk6j72fhgvmtktxxa45hado4j,3.0,2.0,56.0,0.0
nttqjxhvzxvkcxhludmb6p7nvqlje5w7,5.0,2.0,50.0,0.0
nu6hgzghyy4myhfuepxf5uytme3h7v77,5.0,0.0,73.0,9.0
nv77knij4m36e3kcdfyd4bu27dgmnlxg,4.0,0.0,15.0,14.0
nvkozkdiuuaxfagvlxmnxdev6b7qk7ov,7.0,0.0,49.0,12.0
nwkgwbce3xjrxqkccq4qwwn44m74uypr,4.0,2.0,33.0,3.0
nxkspzmzjfl5uhbfr4sxu3h4ccbnehms,7.0,2.0,42.0,13.0
nz2uvulpko55c2czfyt72tscvhndsknu,7.0,0.0,12.0,9.0
o3kbdmfyy4e5jn5apti6edt5hakxgem2,7.0,2.0,10.0,1.0
o4wfalmzcsrail3okcjycafnbujj47bw,2.0,2.0,94.0,13.0
o5yxsyt4mqxl5lowyhn3di4qtkocl7mc,8.0,0.0,64.0,11.0
o6pe7iywzlemszkzcygx3wkbodpj7yaj,0.0,1.0,94.0,5.0
oat7hduuvwycwasox2mslh32sxqyrpgf,5.0,2.0,16.0,2.0
occdf6xae2i2wkwtyzpky3nfnpy2np5v,6.0,0.0,9.0,10.0
odmn6v6it2arybfjgu6gx4xnm3wiufgb,4.0,2.0,49.0,13.0
oeyhbrs3rmzlndrkhj6zbzexxevois4j,1.0,0.0,54.0,9.0
ofighd4cvookxri4zbqv6za7ugha3ykj,2.0,0.0,3.0,14.0
ogztk7e2vxpz6kv3zmlf66xz4yloumfx,7.0,2.0,14.0,0.0
ohqroq7l6s7emmxexumiheibvtye7btb,3.0,2.0,17.0,1.0
ojxq3mflygfh6rdzg73gl2rdyaukjr7q,5.0,2.0,18.0,4.0
ok54bwd5y6sxvke3b6a6w7efqjggjwc4,1.0,0.0,89.0,8.0
olwj7fv5eewupuperrhbqgjmrdy36l32,0.0,2.0,50.0,0.0
olwufbc6uujja77cz5wvi7huoaef5bq2,7.0,2.0,43.0,13.0
ouhjsbw2vgxdwklq6uiuus6ciru6rw5t,6.0,2.0,10.0,3.0
ovc2wc4n4ibwn3ql6oqhcruoemuiwvil,4.0,0.0,59.0,12.0
oxmtwkq2bjacw4duae74hffqltssrg3a,6.0,2.0,14.0,1.0
p2mezfqu46fysdy37rzzsbdzhdgg74qm,1.0,2.0,16.0,4.0
p33f6lc44jcaoml2xustiinlngquoll6,2.0,0.0,74.0,7.0
p3umg74re5w5xquu66nfjyx57uhwxfdn,7.0,2.0,52.0,13.0
p4ll7y5kohydnpifvfsksa7wuduobo7l,2.0,2.0,57.0,13.0
p4ubx2j4cjzulqtm4iznllnfltokfvjn,1.0,2.0,25.0,2.0
p6rkhyl5nobvpiggq7u3wm5co7dzleba,1.0,0.0,32.0,12.0
pafuwdy43rsouv5efosy3mm65jirccph,0.0,0.0,67.0,8.0
pedeunuivymaa2bwe7jfjcf3olzdfebm,5.0,0.0,25.0,14.0
pft6gxgvww5bpyfiebbfthmofdsq4u3g,3.0,2.0,54.0,4.0
pfxmv7oya7ay2gk4zhuhcoknljrftkch,6.0,0.0,61.0,11.0
pkjpw525roljinh6ezqlhdgby3xmvfvd,7.0,2.0,2.0,4.0
po7sulhlcwx562lhwnwtna7on2ni2e2y,7.0,0.0,22.0,14.0
povsyrltk62wseedstx6gwer4t2tivzl,3.0,1.0,35.0,5.0
pqppvbhvc4ifbihm2scrtd2b5wtvy42a,5.0,1.0,26.0,6.0
prv64tsa4sjlu7gkej7f6fkpu5ofcqxe,0.0,2.0,23.0,0.0
ps3fepvi7ryyhkafqkpj5prn4yefbs5k,1.0,0.0,12.0,10.0
ptvef5bntnsscg5cbu5k5pvvo6szzep5,5.0,0.0,49.0,14.0
purtbak5tl3p5ftqsvvjr6zavjwzkerg,2.0,0.0,84.0,12.0
pxbecgp3x573djnzu3dgqhyw2hkiq4ig,3.0,2.0,46.0,3.0
pz7i4hhkyomvd3jyaktpisc36rzyd2md,3.0,0.0,75.0,8.0
q4iukl6rv2bzs5ata3ex3mwzc7g3d3mx,8.0,1.0,23.0,6.0
q5ohpoeof6ym3wq6elai52coynpqtoyx,6.0,2.0,22.0,4.0
q5ojxpp6aqgyt7an2y6hkfoc4e53ohux,3.0,0.0,65.0,11.0
q5wy4alcjbhr4sakbxs57bsugjvwxc6j,6.0,2.0,31.0,4.0
q7g5tak2vnw7qbqk6zaisf5qyx3iosj2,4.0,2.0,35.0,13.0
q7lgkihod3pwecxdeprvznnggajqvkmh,1.0,2.0,13.0,4.0
qbcupzwdfgjjdec7qulxepmhbegcdtn5,4.0,2.0,7.0,3.0
qdsnjn53pilausa6yjxqfeysy6ebrcnh,8.0,2.0,62.0,2.0
qdsq2y6fawzchhwrcqfapzxtnrxkfx2n,3.0,2.0,78.0,0.0
qehlnpkuo5shnxedaezswautosit5ow3,3.0,2.0,68.0,1.0
qf2whxkmpqouidyknp7lavrrgosxukhu,1.0,0.0,48.0,11.0
qgws2ecwqmom4p4d4piiqsxs42gxnkb2,2.0,0.0,39.0,14.0
qjb3nsrgd6z3gazrcdarolav3unxodey,1.0,0.0,40.0,10.0
ql2letnub2d3kkrvvoso5654s4igddc2,7.0,2.0,72.0,4.0
qlygnylbjaqls4orrt5przgmwsthwora,6.0,0.0,13.0,14.0
qmdkqe5hhjxo4wv3ppqenoaqvzxfte2l,6.0,0.0,48.0,8.0
qnqctgag636lgpy7onf5s3zqb3jguceh,0.0,0.0,24.0,7.0
qpdaxfdvsyymr3p2gquf257lps2kgkok,0.0,2.0,64.0,3.0
qsnxkz7ygcwpw44sjlpifvkueplshcyx,2.0,0.0,64.0,7.0
qsqnhqsdptut54mgqoz6buj73k42mubw,2.0,2.0,15.0,13.0
qto7wwqjcpijwwgw2hrqmmp46fk2enru,3.0,0.0,62.0,7.0
quwluyahsw36px4dqjwcmt2sccycrs4j,7.0,0.0,23.0,7.0
qv6gdxt2uembokg6ry4wiirjnjg5h573,6.0,2.0,74.0,0.0
qvx7i6d7ado6jlth6t6oet6ki6jy5bpl,5.0,0.0,26.0,10.0
qvzqacajvc64c3ksudz4de3fplpusjvr,3.0,0.0,96.0,10.0
qwkjh2ihyj2bleoiugyrxmrwvjutgync,4.0,1.0,14.0,5.0
qxh762fvcjg2yeb7ij2lp2lmj3rnpzyw,5.0,2.0,9.0,4.0
r24yua7rh45jvat4n7xicqv63v6fr7e7,4.0,2.0,48.0,4.0
r2ndndqogtemkohl45c3kjqh44vscbv5,6.0,0.0,73.0,7.0
r3vtbmwlb3rycufaofsy25ffrwockvym,3.0,0.0,17.0,11.0
r5frckxcyqmg7k7ylo6pvf27ouanv7ap,7.0,2.0,15.0,3.0
r62maiz2bfct6egcnqadhibf6umbsa2d,8.0,2.0,56.0,0.0
r7rsqs7cudh4qb64kpdglf3ojlwnsqns,2.0,0.0,32.0,14.0
raognv5prycy7om5vekj76rgmidwkzuq,4.0,0.0,63.0,9.0
rclkz6tcf7p3kwbmimkmgvkw546u4wji,5.0,0.0,37.0,14.0
rdkwjjxs77jxwe2gjlc3teg7gaftgezu,8.0,0.0,37.0,10.0
rdp6oyb5lbkrmitwecnezvyjirrg7e7b,0.0,2.0,63.0,2.0
rflofwnjnimhtpaqqpksom6xnwvuqyk7,7.0,2.0,22.0,13.0
rgjpl4sms6yalhlrr7o2jvety5opq7rx,4.0,0.0,96.0,12.0
rh2kff365y7t5zkwh7gdusl4wcf2tbmd,3.0,0.0,40.0,9.0
rh72dekrbgr5idk7plkuxipxmvxw5nvz,5.0,0.0,50.0,7.0
rhy6krmx3zlefvcwwlp66rpkq4dzeytb,1.0,2.0,64.0,13.0
rigvrb5r7eowupekb4s7x6526tk3rmyu,0.0,0.0,20.0,10.0
rjrehugjm2iyji5wztsqjem2vvxad64n,0.0,2.0,35.0,13.0
rkvirqzpffpbeh4l2ji2en44vhxx3o77,3.0,0.0,46.0,12.0
rle32na7xhrxuxn2r4wg4w3puav3k6fz,4.0,0.0,46.0,11.0
rlqivhbtbgr6uiweko6yxdbzpva742rm,5.0,2.0,16.0,3.0
rlqu5obgdmfyfwsrh5svrsco2mqigsu3,7.0,0.0,65.0,11.0
rlumdgismrmpxt7gbhafhoteba6ix6od,8.0,2.0,39.0,2.0
rlvklqufpdyewowq4izhakspild4d4zy,6.0,1.0,52.0,6.0
roqpgf7yrzk7ipytmmfjircyqii2lvql,4.0,1.0,54.0,6.0
rqvea3l2bzakhiqwndhqsqf3clbjx6iz,3.0,1.0,48.0,5.0
rskttrwrmdmyl5xziu2calk3fsz3je7j,8.0,0.0,74.0,10.0
rujqzmgq2u7y6mzvpznbelyfnhl2ajiu,4.0,0.0,38.0,12.0
rx6lnf2qqpqwwnvlbsgvsozo4u7oh5gv,7.0,2.0,32.0,2.0
rxnytveemgykremp7y5tnirdjgdn452z,2.0,2.0,41.0,3.0
ryounc4mewbyjxi5onwa62bwx6agz2do,6.0,2.0,35.0,2.0
rzkd7qqdc2gaklesfmsoaipluaswvkig,3.0,0.0,28.0,9.0
rzutli66qv6vucz63is33ars2tjebbva,3.0,0.0,27.0,14.0
rzz4boutall77mh7btjp5cyhr5nucv44,7.0,2.0,28.0,13.0
s2aifjdguro57suey3tex43jl3cg6hf2,0.0,2.0,66.0,0.0
s2s3dfhggb2awykbt5qtgpnk62b7dgms,1.0,2.0,90.0,13.0
s32bcpoqumxffp3uxrry2sys62bqfqmr,6.0,0.0,33.0,10.0
s3cc5ou5q7ru4jfgdso33izuq7ht4bsm,2.0,1.0,12.0,5.0
s3ghj5or3hvxneybmchakjyfqfof6ecr,3.0,2.0,49.0,0.0
s7lgavicyidgkwmzmqpysolrfcven6ap,2.0,1.0,14.0,6.0
sayo2nhh2nluhdgm2z7h4lemknifoj2n,4.0,2.0,61.0,2.0
sazmxaf26kbxrrq2ylk6khxoowxod5un,2.0,2.0,86.0,13.0
sbtdm7bmm3xofly3k6hpv64gj6vjct5a,2.0,2.0,85.0,2.0
sclf62fupyomr525sjujjjhl3ul5pomh,2.0,2.0,90.0,3.0
sdhayey3vlv2za5zkkmxhyaryn7446bm,2.0,2.0,23.0,1.0
sfv4zzzdhxydapv6t5vgdhojr7fgebaq,3.0,2.0,38.0,2.0
shl3bzewjsvnyqnrbk4bek6pmzwotii4,2.0,2.0,7.0,0.0
shqjtzviubzqsaomc763jfvyw4mpr6ch,3.0,0.0,55.0,7.0
sja6zaxegze2xy5x7e6wimwma55tv6y5,4.0,0.0,71.0,14.0
snrhumbqb5ipapbt7o5d4mz6h5jecd4l,7.0,2.0,6.0,13.0
spqjles7b3jfqcluov5dcozz5cjz2rnq,2.0,0.0,92.0,14.0
sqlrmcvykuyyfzuuwlo5iquxbomns7gf,6.0,1.0,48.0,5.0
ssg7kl6r7mjcqs2ty6p6nu723vi2p4mh,6.0,2.0,75.0,13.0
sxl4ew5yc23n7hujxwclwcsmtrn5vyar,2.0,0.0,36.0,7.0
sxwkzxw7y2czppt36jdom3q7w2pugfbr,1.0,2.0,16.0,3.0
sxyhwbhzucp6ao4zjrdda5bkhsbgcylq,7.0,0.0,16.0,10.0
syllwvcj4zji4pj2aixo2apnatw6g7wf,7.0,2.0,9.0,2.0
sypgnofqezx7btdmimbmllkr2c6avaws,3.0,0.0,22.0,14.0
t44p2ah3d3pfak6otmq2tleptd562xys,4.0,2.0,69.0,4.0
t5rnrntzp3zoqb5v3hrrnb4j3j7f7qos,4.0,0.0,5.0,10.0
t66unupb4l4optdjxvf673telfnvp5lt,1.0,2.0,78.0,13.0
t76775pla527fcg3flxkjjjcekoizabg,6.0,2.0,71.0,0.0
t7etqkymnou6ccy34u6rbvp2f5kvggbb,6.0,0.0,6.0,8.0
tbduuogghqpx4zozzqrnoox3pjnpef2r,1.0,2.0,64.0,3.0
tbkut5shgouqr6hrrta35ifvghj2gvpl,8.0,0.0,58.0,12.0
tg4z4qg33ruwatdldxuy5zmn4k367nu3,4.0,2.0,52.0,4.0
tgw6emqjqxca7qubcct7d37swnsucohc,3.0,0.0,25.0,11.0
thpoq3q3vyyjbokiffcuie2girmqlabg,3.0,2.0,28.0,3.0
ti7xogni3ogvp5qviu5aaq3lc7f37b2h,4.0,2.0,27.0,13.0
tjoofw2mxwp2hgpb5lonj2xvz7ivgj37,8.0,0.0,36.0,8.0
tkwaily5wlbcb52zd66amh3tgaxe2b4x,5.0,1.0,59.0,6.0
touvnvpt4t4bynqofavuv7etbnvgveuy,5.0,0.0,63.0,10.0
tqkn66efv6iuszxf55b6hbfriy6sw72n,7.0,0.0,9.0,9.0
tsmfc2is6p4k62i56gddarkibawc4hip,1.0,0.0,28.0,7.0
tugz6bxogswi35z7szkvhzx4hqoay6m3,4.0,2.0,40.0,0.0
tv7istqio5nwaf7rshwwnmezqxdc3gcu,1.0,0.0,51.0,11.0
twsbq6sapl5ln72kv7fehuvxcqxin6hj,4.0,2.0,53.0,2.0
txomkt6nr6hfzikwkrqkaa5oxuhmjsad,4.0,0.0,66.0,11.0
tz4z3upcohiflasvq2swgqn7r6djdxgb,4.0,0.0,71.0,8.0
tzwbwltnnrdeqsgbznowliwxtis5kys3,7.0,1.0,74.0,5.0
tzwn247z3i5vksk5n3lbcd57kxz5m2qp,5.0,0.0,15.0,7.0
u4gvgv7m2coylmu6odg4z5jhwkjh3pzm,3.0,0.0,18.0,11.0
u5fv6amkotdpeyfeamdhri2sdeyiv2vb,6.0,1.0,59.0,5.0
u5m54hwkh2z3hsmdh6ve77tzpf7yaxwf,6.0,2.0,78.0,13.0
u742jojocqeeuug56bdq6uj4n3zmrac4,0.0,2.0,70.0,3.0
u7gjpy2wnurt34kfwcsb6h7xelpwhtcb,5.0,0.0,11.0,14.0
u7ivesfwyoyhxtrwzhegs6smf4nl7rat,5.0,0.0,59.0,8.0
udw5z6hbmwkrfe7rlkimxc2ezo55kmij,1.0,0.0,58.0,14.0
ufo7bq5ls22hpbvvmqzpemryu3dzkzzh,0.0,2.0,23.0,13.0
uiq3keytp4dnww5efklaanvjnhxnw7j3,1.0,0.0,16.0,7.0
uj6ipehexu6tbzesiziorhsulgoogebr,1.0,0.0,4.0,9.0
ujsz5ibrhzo5k77eik5mtkdizxyylsu5,3.0,0.0,7.0,10.0
uld7mpd74i236xauidxljj6ylwc3y462,5.0,2.0,12.0,4.0
ulddwqtpnfhea3uxmb7yjggt5m6pi6qv,1.0,0.0,84.0,7.0
ulecu3u6ous5rj3hjhhm4ksvyjppg2pa,2.0,0.0,6.0,11.0
unktqnwmhoiezwncrooifsqgjmycorjl,0.0,0.0,66.0,7.0
unq67pzv7e3dvxmivggcbeazbzpwxvi6,2.0,0.0,43.0,14.0
uq6zx4uoh5wiub5djfxnjwyqlikl625c,2.0,2.0,88.0,2.0
uqsxd3osd3tdgadcso5kquvo6hlxzuda,5.0,2.0,46.0,1.0
urfdaqr5onzq3dsah74nhtyof7l3rcel,0.0,0.0,25.0,11.0
urmkbvlp5kgb2rrv54aj5xsdekehliiz,1.0,0.0,61.0,8.0
utvtwp4pg5me42j22owjqd7ydmqs63iw,1.0,0.0,8.0,7.0
uvzr6pxg55keog37zxzw2q3kake4jeos,2.0,2.0,95.0,2.0
uw6momcn34nid3vjqsczcbzzb2njdpxb,3.0,0.0,14.0,9.0
uxqnqkqhhyrwujfb5acgdbsfkoyze3vo,4.0,2.0,72.0,1.0
uxrm7zsiblwtrehjhimztynanqflwnie,6.0,2.0,61.0,4.0
uynnmr34salgm62evijdguxrrxdxomn3,8.0,0.0,42.0,10.0
uyxveburq6defke6wfv2iru64zswt5e7,0.0,0.0,58.0,12.0
uz7aqippjvowtqt64fojmeq2npkjkn42,5.0,2.0,18.0,13.0
v47fkq7va7nwuq724zsepe6yqfdzzxe3,8.0,2.0,34.0,4.0
v4pmkkazmxkphqyxoe2gwtdnealbsnrk,3.0,0.0,26.0,9.0
v6pcgzptr4egxqh7h4l3sxiwde3g4wmz,6.0,0.0,64.0,11.0
va7xqoxpajinhxjey2quxm2h5h5li5wa,5.0,2.0,71.0,0.0
vdn2q4hca6b4xse6eplhs4uvfid7nmlc,6.0,1.0,11.0,5.0
vdncxjgmuke47x34uoiygfihya3ztxbb,1.0,0.0,38.0,8.0
vgcsbgb3rr3uvfdr3bvydlqs7cako54f,6.0,0.0,40.0,11.0
vgd2czhvnp7ykqkezhi2bm2tubg5tvuo,0.0,0.0,5.0,12.0
vhdmxmmuqpfess3yyoxgr3nzvc5udyky,0.0,0.0,78.0,11.0
viiyf3sc725z73f7fwdqdvuyjaufz62f,3.0,1.0,63.0,5.0
vj4se4uakhnvxq7dpf5dijbjdila54ur,8.0,0.0,45.0,12.0
vkeucrkkdvrxg7vo577bcu7lefb6l7g3,1.0,0.0,37.0,12.0
vngbtwfytwhptl7ngdmi46wxx6ryiz3v,7.0,2.0,70.0,4.0
vnjh7gikkfado4gszumjgdyi3bkdcq6x,7.0,0.0,41.0,14.0
vtk6qjguvdkirg62maa2enrceyziponx,2.0,0.0,48.0,12.0
vvmlsxtizgvjfqxtt4xyvmk7f5ahekpb,1.0,0.0,81.0,7.0
vvncexwzh6o6dtnxzqwvuqdhnq2v6vjy,4.0,2.0,39.0,13.0
vxkg6imrgbnyjjpelibvlitd3dwy5ybp,3.0,2.0,61.0,4.0
vxm5nw6gej3wftrg2ltfttc75kxevo2w,8.0,2.0,43.0,3.0
w4cmid5fasvb5iaaqzt3ygsv6n3hdx4d,4.0,2.0,38.0,2.0
w54m5iq55p2ipjh46dz6wxx4fzys6kbo,2.0,0.0,63.0,10.0
w6bvhkxnngazxyvzviyteeihb7aexr33,2.0,0.0,11.0,8.0
w6jwcdcthir4aajjactr335bngwpfzwg,6.0,2.0,75.0,4.0
w6o77ptvlq6apifxc6cme3472myfiafk,1.0,0.0,87.0,9.0
w6zhw4vdtetfzkemdyd4lh2vn7em3r5i,5.0,2.0,31.0,3.0
w7rxpdps6rrqgolirg57x7su3j2x6tr7,7.0,0.0,75.0,8.0
wayyyeb7auw3y7zcg67zexsy5gz4mshs,3.0,2.0,27.0,0.0
wcbtfktkvop7qufft5d67ghogba3hfaw,8.0,0.0,47.0,7.0
wcuh66fgvs2efk5vryrrnak3hu3doom7,0.0,2.0,13.0,4.0
wekn4w6253wlh2ku5aw6o55w5mry42uw,8.0,2.0,63.0,4.0
wj7ywlx4vrkt2ojiai657ebk6jguiwbc,1.0,2.0,46.0,4.0
wjrx5zhtgadeobogc6njrmyyrkca2npq,7.0,0.0,46.0,8.0
wjzkenrxjcjknxsjqipcrc4kxoxwtvny,8.0,0.0,71.0,11.0
